Address,Price,Beds,Baths,Sizes
"393 Avenue S Apt 4A, Brooklyn, NY 11223","$379,000",2,1,925sqft
"515 Ocean Ter, Staten Island, NY 10301","$799,900",3,2,"1,062sqft"
"1828 Drumgoole Rd, Staten Island, NY 10309","$599,000",3,1,884sqft
"71-57 Manse St, Forest Hills, NY 11375","$1,249,000",3,2.5,No display data
"100 St Nicholas Ave Unit 7E, New York City, NY 10026","$670,000",4,1,No display data
"5247 Independence Ave, Bronx, NY 10471","$4,500,000",9,8.5+,"10,000sqft"
"459 Henry St, New York City, NY 11231","$6,995,000",5,4.5,"3,520sqft"
"550 Vanderbilt Ave Apt 1619, New York City, NY 11238","$2,799,000",2,2.5,"1,572sqft"
"150 E 77th St Apt 12C, New York City, NY 10075","$2,795,000",3,2,No display data
"33-46 157th St, Flushing, NY 11354","$1,298,000",5,2.5,No display data
"122-12 153rd St, Jamaica, NY 11434","$879,000",6,5,No display data
"33 W 71st St, New York City, NY 10023","$11,995,000",6,6.5+,"8,500sqft"
"425 E 58th St Apt 29E, Manhattan, NY 10022","$3,750,000",4,4.5,"2,900sqft"
"178-14 145th Dr, Jamaica, NY 11434","$699,000",3,1,"1,090sqft"
"1035 E 14th St, Brooklyn, NY 11230","$1,800,000",9,5.5+,"4,407sqft"
"20 Pine St Apt 911, New York City, NY 10005","$1,345,000",2,1,"1,223sqft"
"305 E 51st St Apt 11B, New York City, NY 10022","$2,795,000",2,2,"1,518sqft"
"201 E 25th St Unit 11DE, New York City, NY 10010","$2,250,000",3,2,No display data
"515 E 89th St Apt 5K, New York City, NY 10128","$1,250,000",2,2,"1,350sqft"
"241-20 Mayda Rd SE, Rosedale, NY 11422","$615,500",3,1.5+,"1,590sqft"
"240 Cozine Ave Unit 104H, Brooklyn, NY 11207","$560,000",2,1,No display data
"226-33 Union Tpke Unit 371, Bayside, NY 11364","$359,000",2,1,No display data
"4154 Barnes Ave, Bronx, NY 10466","$810,000",6,2,"2,288sqft"
"69-09 108th St Unit 5O3, Forest Hills, NY 11375","$500,000",2,1,No display data
"2704 Parsons Blvd Apt 6E, Flushing, NY 11354","$369,000",2,1,No display data
"87-74 94th St, Woodhaven, NY 11421","$729,000",3,2.5,No display data
"2921 Philip Ave, Bronx, NY 10465","$750,000",3,2,"1,234sqft"
"821 Rensselaer Ave, Staten Island, NY 10309","$699,000",3,2.5+,"1,680sqft"
"1250 E 80th St Unit 7, Brooklyn, NY 11236","$450,000",3,2,"1,065sqft"
"3846 Amboy Rd, Staten Island, NY 10308","$864,999",3,3,"2,806sqft"
"548 Chester St, Brooklyn, NY 11212","$679,000",4,3,"1,808sqft"
"69-16 Juniper Valley Rd, Middle Village, NY 11379","$769,000",3,2,No display data
"659 Morris Park Ave, Bronx, NY 10462","$858,000",3,1,"2,016sqft"
"34-54 9th St, Astoria, NY 11106","$1,199,900",6,3,No display data
"50-14 102 St, Corona, NY 11368","$885,000",4,3.5,No display data
"91-42 Hollis Court Blvd, Jamaica, NY 11428","$1,800,000",5,3.5+,No display data
"150 Nassau St Apt 2A, New York City, NY 10038","$2,990,000",2,2.5,"1,725sqft"
"2744 Kingsbridge Ter, Bronx, NY 10463","$1,999,999",11,5,"4,091sqft"
"1059 Vincent Ave, Bronx, NY 10465","$699,000",4,2,"1,520sqft"
"2009 Gerritsen Ave, Brooklyn, NY 11229","$999,000",3,2.5,No display data
"202-36 46th Rd, Bayside, NY 11361","$999,999",3,2,"1,650sqft"
"10-40 116 St, College Point, NY 11356","$1,580,000",9,3,"3,540sqft"
"181-25 Tudor Rd, Jamaica, NY 11432","$1,788,000",4,3,"2,204sqft"
"51 Jay St Apt 1M, New York City, NY 11201","$2,175,000",2,2.5,"1,451sqft"
"23338 Bay Ave, Little Neck, NY 11363","$1,549,000",4,3.5,No display data
"137-28 94th St, Ozone Park, NY 11417","$825,000",4,2,No display data
"90-17 179th, Jamaica, NY 11432","$949,000",4,4,No display data
"393 Avenue S Apt 4A, Brooklyn, NY 11223","$379,000",2,1,925sqft
"36 Shore Rd Ln, Brooklyn, NY 11209","$2,400,000",3,3.5,"2,408sqft"
"188-25 Palo Alto Ave, Hollis, NY 11432","$2,500,000",8,6,"3,700sqft"
"143-26 41st Ave Unit 5B, Flushing, NY 11355","$730,000",2,2,770sqft
"420 Riverside Dr Apt 12E, Manhattan, NY 10025","$1,150,000",2,1,"1,000sqft"
"6 Park End Pl, New York, NY 11375","$1,825,500",4,2.5,"2,200sqft"
"111-57 166th St, Jamaica, NY 11433","$399,000",2,1,No display data
"42 Targee St, Staten Island, NY 10304","$365,000",3,2,720sqft
"5500 Fieldston Rd Apt 8AA, Bronx, NY 10471","$395,000",3,2,"1,100sqft"
"113-14 72 Rd Unit Bb, Forest Hills, NY 11375","$490,000",2,2,"1,300sqft"
"Withheld Ln, Staten Island, NY 10314","$829,900",6,3,"2,800sqft"
"132-31 158th St, Jamaica, NY 11434","$655,000",3,3,"1,230sqft"
"48 Ilyssa Way, Staten Island, NY 10312","$469,000",3,2.5+,"1,679sqft"
"56-21 Douglaston Pkwy Unit Upper, Douglaston, NY 11362","$359,000",3,1,No display data
"177-41 115 Ave, Jamaica, NY 11434","$659,000",3,1.5,No display data
"1479 Commonwealth Ave, Bronx, NY 10460","$719,000",5,2,"3,192sqft"
"77 Richard Ln, Staten Island, NY 10314","$829,900",6,3,"2,800sqft"
"164-39 86th St, Howard Beach, NY 11414","$859,000",3,2,No display data
"56 E 126th St Apt 2, New York City, NY 10035","$799,000",2,1,877sqft
"350 Livermore Ave, Staten Island, NY 10314","$799,000",3,2,"1,407sqft"
"119 Johnson Ave, Staten Island, NY 10307","$1,250,000",5,5,"3,096sqft"
"280 Grafton St, Brooklyn, NY 11212","$899,000",8,3,"3,250sqft"
"1078 E 27th St, Brooklyn, NY 11210","$1,800,000",4,2.5+,"2,800sqft"
"165 E 72nd St Apt 8G, New York, NY 10021","$1,250,000",2,2,No display data
"100-09 89th Ave, Richmond Hill, NY 11418","$835,000",5,2.5,No display data
"59-24 72nd St, Maspeth, NY 11378","$1,319,000",5,3,"2,898sqft"
"277 S 2nd St, Brooklyn, NY 11211","$3,999,999",6,4.5,No display data
"274 Prospect Park W Apt 3L, New York City, NY 11215","$875,000",2,1,No display data
"48-31 91st Pl, Elmhurst, NY 11373","$1,950,000",8,7,No display data
"112-01 Queens Blvd Unit 5B, Forest Hills, NY 11375","$1,050,000",2,2,"1,135sqft"
"2056 5th Ave Apt 2A, New York City, NY 10035","$1,250,000",2,2.5,"1,500sqft"
"732 Halsey St, Brooklyn, NY 11233","$1,650,000",5,3,No display data
