Address,Price,Beds,Baths,Sizes
"2781 Marion Ave, Bronx, NY 10458","$675,000",5,0.5+,"2,226sqft"
"139-09 28th Rd Unit 2CC, Flushing, NY 11354","$330,000",2,1,No display data
"204-15 Foothill Ave Unit A36, Hollis, NY 11423","$235,000",2,1,No display data
"30A McDivitt Ave Unit 12, Staten Island, NY 10314","$489,000",2,1.5,"1,158sqft"
"168 Manhattan St, Staten Island, NY 10307","$869,900",2,2.5,"2,100sqft"
"2932 W 5th St Apt 7G, Brooklyn, NY 11224","$429,000",2,1,"1,000sqft"
"419 Kissel Ave, Staten Island, NY 10301","$811,000",3,2,"1,450sqft"
"860 Fifth Ave Unit 5L, New York, NY 10065","$1,265,000",2,2,No display data
"74-09 255th St Unit 1ST, Glen Oaks, NY 11004","$364,900",2,1,721sqft
"937 E 220th St, Bronx, NY 10469","$995,000",6,4,No display data
"202-23 47 Ave, Bayside, NY 11361","$850,000",3,1.5,"1,216sqft"
"240-25 144th Ave, Rosedale, NY 11422","$699,000",3,2,"1,624sqft"
"370 W 262nd St, Bronx, NY 10471","$939,000",3,2,No display data
"3033 Scenic Pl, Bronx, NY 10463","$3,300,000",5,4.5+,No display data
"870 United Nations Plz Apt 8A, New York, NY 10017","$1,850,000",2,2,No display data
"27-03 Corporal Kennedy St, Bayside, NY 11360","$1,198,000",3,3,No display data
"41-33 Parsons Blvd Unit 2B, Flushing, NY 11355","$650,000",2,2,No display data
"515 W 18th St Unit 1006, New York, NY 10011","$8,495,000",3,3,"1,990sqft"
"24 Central Park S Unit 11E, New York, NY 10019","$4,850,000",3,3.5,"2,260sqft"
"30-80 21st St Unit 6A, New York City, NY 11102","$949,000",2,2,960sqft
"229 55th St Unit 4A, Brooklyn, NY 11220","$588,000",2,2,827sqft
"48-21 5th St Ph 5G, New York, NY 11101","$2,550,000",3,2,"1,686sqft"
"500 W 43rd St Apt 36D, New York City, NY 10036","$1,499,000",2,2,"1,035sqft"
"1 Central Park S Unit 706, New York, NY 10019","$4,750,000",2,2,"1,721sqft"
"100 Barclay St Apt 25B, New York, NY 10007","$6,525,000",3,4,"2,870sqft"
"39 E 72nd St, New York, NY 10021","$36,000,000",11,11.5+,No display data
"50 Gramercy Park N Unit 15AB, New York, NY 10010","$4,995,000",3,2.5,"3,809sqft"
"747 Patterson Ave, Staten Island, NY 10306","$249,000",3,2.5,680sqft
"102-04 164th Ave, Howard Beach, NY 11414","$459,000",3,2,No display data
"535 White Plains Rd, Bronx, NY 10473","$639,000",3,2,"1,200sqft"
"83-83 118th St Unit 1D, Kew Gardens, NY 11415","$389,000",2,1,No display data
"531 E 26th St, Brooklyn, NY 11210","$849,000",5,2,"2,144sqft"
"2418 Esplanade Ave, Bronx, NY 10469","$980,000",9,6,"4,012sqft"
"166 Norwood St, Brooklyn, NY 11208","$1,125,000",8,4,No display data
"88-11 Elmhurst Ave Unit B11, Elmhurst, NY 11373","$486,000",2,1,No display data
"531 E 26th St, Brooklyn, NY 11210","$849,000",5,3,"2,144sqft"
"1185 Park Ave Apt 1A, New York City, NY 10128","$1,425,000",3,3.5,No display data
"25 W 54th St Unit 2F, New York, NY 10019","$799,000",2,2,No display data
"165 Beach 139th St, Belle Harbor, NY 11694","$1,875,000",4,4.5,"2,492sqft"
"40 E 43rd St Apt 3B, Brooklyn, NY 11203","$279,999",2,1,"1,000sqft"
"221-40 59th Ave, Oakland Gardens, NY 11364","$989,000",4,3,No display data
"1 Sutton Pl S Unit 7C, New York, NY 10022","$5,995,000",2,2.5,No display data
"69-10 Yellowstone Blvd Unit 303, Forest Hills, NY 11375","$639,000",2,2,"1,300sqft"
"275 Clinton Ave Unit 31, Brooklyn, NY 11205","$1,899,000",3,2,No display data
"737 127th St, College Point, NY 11356","$999,000",4,2,No display data
"150 Joralemon St Apt 4A, New York City, NY 11201","$890,000",2,1,No display data
"105-08 Ditmars Blvd, East Elmhurst, NY 11369","$840,000",3,2.5,"1,140sqft"
"124-02 Rockaway Blvd, South Ozone Park, NY 11420","$1,549,000",4,5,No display data
"150 E 61st St Apt 7E, New York City, NY 10065","$1,895,000",2,2,"1,527sqft"
"87-16 168 St, Jamaica, NY 11432","$3,300,000",9,8,No display data
"60 W 13th St Apt 13A, New York City, NY 10011","$1,750,000",2,2,"1,200sqft"
"220 Riverside Blvd Apt 10J, New York City, NY 10069","$3,650,000",3,3.5,"2,143sqft"
"39 E 72nd St, New York City, NY 10021","$36,000,000",11,11.5+,No display data
"130 E 12th St Ph 7AB, New York City, NY 10003","$5,575,000",3,3.5,"4,869sqft"
"48 5th St Ph 5G, New York City, NY 11101","$2,550,000",3,2,"1,686sqft"
"239 55th St, Brooklyn, NY 11220","$1,499,000",5,2,"1,968sqft"
"473 Bainbridge St Unit 4A, New York City, NY 11233","$845,000",2,2,No display data
"804 E 216th St, Bronx, NY 10467","$550,000",6,3,"2,604sqft"
"42 Grove Ave, Staten Island, NY 10302","$399,000",3,1.5,"1,080sqft"
"46 Grove Ave, Staten Island, NY 10302","$399,000",3,1.5,"1,080sqft"
"1017 Swinton Ave, Bronx, NY 10465","$550,000",3,1.5,"1,938sqft"
"48 Grove Ave, Staten Island, NY 10302","$499,000",4,2.5,No display data
"53 E 80th St, New York City, NY 10075","$20,000,000",7,7.5+,"10,800sqft"
"226 26 Union Tpke Unit 3P, Queens, NY 11364","$325,000",2,1,No display data
"1821 Topping Ave, Bronx, NY 10457","$599,000",9,3,"3,008sqft"
"130-23 135th Pl, Jamaica, NY 11420","$530,000",4,2,No display data
"144-20 Village Rd Unit 65D, Jamaica, NY 11435","$157,700",2,1,"1,800sqft"
"4 Van Siclen, Cypress Hills, NY 11207","$598,000",4,1.5+,No display data
"353 W 53rd St Apt 2, New York City, NY 10019","$1,195,000",2,2,No display data
"375 Sheffield St, Staten Island, NY 10310","$665,000",3,2.5,"1,440sqft"
"698 New Dorp Ln, Staten Island, NY 10306","$499,900",2,1,560sqft
"3401 Fort Independence St, Bronx, NY 10463","$589,000",4,3,"1,276sqft"
"68-23 Douglaston Pkwy, Douglaston, NY 11362","$1,328,888",5,5,"3,400sqft"
"68-23 Douglaston Pkwy, Queens, NY 11362","$1,328,888",5,5,"3,400sqft"
"50-18 46th St, Woodside, NY 11377","$1,100,000",3,2.5,"2,051sqft"
"300 E 62nd St Units 1803 & 1804, New York City, NY 10065","$1,700,000",2,2,No display data
"1214 Olmstead Ave, Bronx, NY 10462","$1,100,000",7,4,No display data
"233-03 Linden Blvd, Cambria Heights, NY 11411","$709,900",4,3,No display data
"65 Milton Ave, Staten Island, NY 10306","$780,000",3,2,"1,940sqft"
"531 E 26th St, Brooklyn, NY 11210","$849,000",5,3,"2,144sqft"
"1969 Gerritsen Ave, Brooklyn, NY 11229","$799,000",2,1.5,"1,120sqft"
"67-12 Bell Blvd, Bayside, NY 11364","$1,479,000",4,4,"2,550sqft"
"212-11 85th Ave, Hollis Hills, NY 11427","$1,498,000",5,4,No display data
"659 Putnam Ave Unit 4, New York, NY 11221","$825,000",2,1,763sqft
"659 Putnam Ave Unit 3, New York, NY 11221","$825,000",2,1,763sqft
"2137 E 73rd St, Brooklyn, NY 11234","$1,125,000",4,3,"1,890sqft"
"202 Seeley St Apt 5E, New York City, NY 11218","$975,000",2,1,No display data
"35 Hudson Yards Unit 6002, New York, NY 10001","$5,000,000",2,2.5,"2,174sqft"
"8002 Harbor View Ter, Brooklyn, NY 11209","$3,799,000",5,3,"3,040sqft"
